Date,Close/Last,Volume,Open,High,Low
05/10/2021,$141.479,6983377,$141.1208,$143.618,$141.1208
05/07/2021,$140.7917,7003467,$141.237,$141.4499,$139.9303
05/06/2021,$143.6567,7503487,$140.5982,$143.7487,$140.5207
05/05/2021,$140.5594,3622786,$141.2563,$141.3144,$139.7263
05/04/2021,$141.0724,6350479,$139.7754,$141.8855,$139.698
05/03/2021,$140.1045,5733463,$139.1947,$141.0724,$138.943
04/30/2021,$137.3266,8872181,$139.0882,$139.214,$136.0393
04/29/2021,$139.6109,4353880,$139.5044,$143.9665,$138.3913
04/28/2021,$138.4107,3768129,$138.3333,$138.7978,$137.5396
04/27/2021,$137.4525,3884037,$137.1427,$137.9848,$136.2329
04/26/2021,$137.0266,4710763,$137.8493,$139.0205,$136.9395
04/23/2021,$137.859,4556700,$136.7749,$139.0011,$136.4265
04/22/2021,$136.7459,7101368,$139.0882,$140.0948,$136.4749
04/21/2021,$138.943,11909010,$133.6292,$139.1173,$133.2905
04/20/2021,$133.726,15480580,$132.671,$135.2843,$132.3129
04/19/2021,$128.8478,8198582,$129.3124,$129.5205,$128.3251
04/16/2021,$129.3027,5291756,$128.7316,$129.7963,$128.6832
04/15/2021,$128.3251,3883955,$129.0026,$129.5737,$127.9767
04/14/2021,$128.3735,5868049,$127.091,$128.5187,$126.3312
04/13/2021,$126.97,8033530,$128.7316,$129.3317,$126.1957
04/12/2021,$130.2706,3753959,$130.6868,$131.0256,$129.5543
04/09/2021,$131.374,3023916,$130.5416,$131.3837,$130.3867
04/08/2021,$130.7836,4087228,$130.2512,$131.2771,$129.8544
04/07/2021,$130.5997,2976136,$129.5447,$130.6094,$129.4866
04/06/2021,$129.9125,3620964,$131.2288,$131.2869,$129.7866
04/05/2021,$131.5676,5471616,$129.3511,$132.3032,$129.1188
04/01/2021,$128.9542,4074161,$129.4672,$129.6318,$128.025
03/31/2021,$128.9833,4945315,$130.2222,$130.3867,$128.4509
03/30/2021,$130.3964,4790366,$131.4998,$131.8967,$129.7189
03/29/2021,$131.4998,4622664,$131.616,$132.671,$131.1611
03/26/2021,$132.0031,5567592,$129.0123,$132.0999,$128.8478
03/25/2021,$128.7994,5553966,$126.1473,$128.9639,$125.6053
03/24/2021,$126.428,4005027,$126.7474,$127.8702,$126.3796
03/23/2021,$126.2731,4356359,$126.2538,$127.3378,$125.6343
03/22/2021,$126.3602,4164914,$124.376,$126.5248,$123.7856
03/19/2021,$124.7632,9844983,$125.8473,$126.2538,$124.4051
03/18/2021,$125.886,5835669,$124.8019,$126.791,$123.6888
03/17/2021,$124.889,4291351,$124.3373,$125.3343,$123.3985
03/16/2021,$124.1244,4653178,$124.1631,$124.3954,$123.2533
